County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
6067,"Sacramento County, CA",2.8,2.4,53,0.11,0.079,3,2,49,12.6,68
6069,"San Benito County, CA",.,.,.,0.08,0.071,.,.,15,5.9,50
6071,"San Bernardino County, CA",3.3,1.6,61,0.15,0.104,11,10,35,12.3,155
6073,"San Diego County, CA",24.1,6.8,75,0.09,0.078,1,1,25,11.7,214
6075,"San Francisco County, CA",1.8,1.3,60,0.06,0.043,.,.,28,10.1,40
6077,"San Joaquin County, CA",2.5,1.7,57,0.09,0.073,.,.,56,17.9,122
6079,"San Luis Obispo County, CA",.,.,37,0.08,0.075,53,10,31,12.5,158
6081,"San Mateo County, CA",3.3,1.6,47,0.07,0.056,.,.,29,10.7,.
6083,"Santa Barbara County, CA",2.4,1,40,0.08,0.065,38,13,16,8.9,68
6085,"Santa Clara County, CA",2.7,2.1,52,0.09,0.067,10,2,35,12.4,53
6087,"Santa Cruz County, CA",.,.,.,0.07,0.064,.,.,51,10.1,.
6089,"Shasta County, CA",.,.,.,0.08,0.068,.,.,35,5.9,39
6093,"Siskiyou County, CA",.,.,.,0.08,0.063,.,.,40,7.9,52
6095,"Solano County, CA",2.6,2,43,0.08,0.064,4,2,37,11.3,30
6097,"Sonoma County, CA",1.7,1.2,37,0.07,0.055,.,.,23,8.5,30
6099,"Stanislaus County, CA",2.6,2.1,46,0.09,0.08,.,.,61,15,88
6101,"Sutter County, CA",.,.,52,0.08,0.072,.,.,25,8.2,48
6103,"Tehama County, CA",.,.,.,0.09,0.072,.,.,.,.,43
6105,"Trinity County, CA",.,.,.,.,.,.,.,.,.,45
6107,"Tulare County, CA",.,.,53,0.12,0.09,.,.,63,18.9,122
6109,"Tuolumne County, CA",.,.,.,0.09,0.07,.,.,.,.,.
6111,"Ventura County, CA",.,.,37,0.1,0.077,.,.,25,9.4,143
6113,"Yolo County, CA",.,.,34,0.08,0.065,.,.,22,7.5,59
8001,"Adams County, CO",2.4,2.1,58,0.1,0.077,30,5,27,8.7,97
8003,"Alamosa County, CO",.,.,.,.,.,.,.,.,.,229
8005,"Arapahoe County, CO",.,.,.,0.1,0.079,.,.,22,6.8,.
8007,"Archuleta County, CO",.,.,.,.,.,.,.,.,.,241
8013,"Boulder County, CO",.,.,.,0.09,0.079,.,.,23,7.1,51
8015,"Chaffee County, CO",.,.,.,0.08,0.071,.,.,.,.,.
8019,"Clear Creek County, CO",.,.,.,0.1,0.085,.,.,.,.,.
8029,"Delta County, CO",.,.,.,.,.,.,.,.,.,44
8031,"Denver County, CO",5.7,2.5,68,0.09,0.071,38,11,29,8.8,76
8035,"Douglas County, CO",.,.,.,0.1,0.083,.,.,17,5.6,.
8041,"El Paso County, CO",3.3,1.8,.,0.09,0.074,58,14,18,6,52
8043,"Fremont County, CO",.,.,.,.,.,.,.,.,.,66
8045,"Garfield County, CO",.,.,.,0.07,0.067,.,.,.,.,34
8051,"Gunnison County, CO",.,.,.,0.07,0.064,.,.,.,.,61
8057,"Jackson County, CO",0.2,0.3,6,0.07,0.064,1,0,.,.,.
8059,"Jefferson County, CO",.,.,.,0.11,0.085,.,.,.,.,.
8067,"La Plata County, CO",1.7,1,35,0.08,0.072,.,.,29,4.5,38
8069,"Larimer County, CO",2.5,1.4,.,0.1,0.082,.,.,18,6.8,55
8077,"Mesa County, CO",1.4,0.9,.,0.07,0.066,.,.,40,8.8,56
8081,"Moffat County, CO",.,.,.,0.07,0.065,.,.,.,.,.
8083,"Montezuma County, CO",.,.,.,0.08,0.069,.,.,12,6.1,.
8093,"Park County, CO",.,.,.,0.08,0.068,.,.,.,.,.
8097,"Pitkin County, CO",.,.,.,0.07,0.066,.,.,.,.,35
8099,"Prowers County, CO",.,.,.,.,.,.,.,.,.,406
8101,"Pueblo County, CO",.,.,.,.,.,.,.,17,6.5,62
8103,"Rio Blanco County, CO",.,.,24,0.11,0.091,.,.,16,8.9,.
8107,"Routt County, CO",.,.,.,.,.,.,.,.,.,77
8113,"San Miguel County, CO",.,.,.,0.07,0.069,.,.,.,.,58
8123,"Weld County, CO",3,1.7,.,0.09,0.073,.,.,21,7.2,47
9001,"Fairfield County, CT",3.2,1.8,44,0.12,0.09,12,6,27,8.7,36
9003,"Hartford County, CT",2.6,1.7,48,0.11,0.077,9,4,24,8.1,26
9005,"Litchfield County, CT",2.7,0.6,23,0.11,0.068,4,3,13,5.2,19
9007,"Middlesex County, CT",.,.,.,0.11,0.082,.,.,.,.,.
9009,"New Haven County, CT",2,1.4,52,0.13,0.085,15,7,27,8.8,32
9011,"New London County, CT",.,.,.,0.11,0.085,.,.,19,7.5,.
9013,"Tolland County, CT",.,.,.,0.1,0.081,.,.,.,.,.
9015,"Windham County, CT",.,.,.,0.09,0.069,.,.,.,.,.
10001,"Kent County, DE",.,.,.,0.07,0.064,.,.,23,8.1,.
10003,"New Castle County, DE",1.9,1.1,46,0.09,0.067,15,4,34,10.6,.
10005,"Sussex County, DE",.,.,18,0.08,0.072,7,3,23,8.5,.
